2024-05-11 11:04:18 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [12.0, 11.0, 11.0], ret: http://localhost:21003
2024-05-11 11:04:18 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [12.0, 12.0, 11.0], ret: http://localhost:21004
2024-05-11 11:04:19 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [12.0, 12.0, 12.0], ret: http://localhost:21002
2024-05-11 11:04:19 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [13.0, 12.0, 12.0], ret: http://localhost:21003
2024-05-11 11:04:20 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [13.0, 13.0, 12.0], ret: http://localhost:21004
2024-05-11 11:04:20 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [13.0, 13.0, 13.0], ret: http://localhost:21002
2024-05-11 11:04:21 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [14.0, 13.0, 13.0], ret: http://localhost:21003
2024-05-11 11:04:21 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [14.0, 14.0, 13.0], ret: http://localhost:21004
2024-05-11 11:04:22 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [14.0, 14.0, 14.0], ret: http://localhost:21002
2024-05-11 11:04:22 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [15.0, 14.0, 14.0], ret: http://localhost:21003
2024-05-11 11:04:23 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [15.0, 15.0, 14.0], ret: http://localhost:21004
2024-05-11 11:04:23 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [15.0, 15.0, 15.0], ret: http://localhost:21002
2024-05-11 11:04:24 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [16.0, 15.0, 15.0], ret: http://localhost:21003
2024-05-11 11:04:24 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [16.0, 16.0, 15.0], ret: http://localhost:21004
2024-05-11 11:04:25 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [16.0, 16.0, 16.0], ret: http://localhost:21002
2024-05-11 11:04:25 | INFO | controller | names: ['http://localhost:21002', 'http://localhost:21003', 'http://localhost:21004'], queue_lens: [17.0, 16.0, 16.0], ret: http://localhost:21003
2024-05-11 11:04:26 | INFO | controller | Receive heart beat. http://localhost:21003
2024-05-11 11:04:29 | INFO | controller | Receive heart beat. http://localhost:21004
